game_id,home_yards_gained,away_yards_gained,home_interception,away_interception,home_fumble_forced,away_fumble_forced,home_fumble_not_forced,away_fumble_not_forced,home_fumble_out_of_bounds,away_fumble_out_of_bounds,home_solo_tackle,away_solo_tackle,home_safety,away_safety,home_penalty,away_penalty,home_qb_hit,away_qb_hit,home_rush_attempt,away_rush_attempt,home_pass_attempt,away_pass_attempt,home_fumble,away_fumble,home_complete_pass,away_complete_pass,home_assist_tackle,away_assist_tackle,home_sack,away_sack,home_touchdown,away_touchdown,home_pass_touchdown,away_pass_touchdown,home_rush_touchdown,away_rush_touchdown,home_return_touchdown,away_return_touchdown,home_extra_point_attempt,away_extra_point_attempt,home_two_point_attempt,away_two_point_attempt,home_field_goal_attempt,away_field_goal_attempt,home_kickoff_attempt,away_kickoff_attempt,home_punt_attempt,away_punt_attempt,home_punts_blocked,away_punts_blocked,home_first_down_rush,away_first_down_rush,home_first_down_pass,away_first_down_pass,home_first_down_penalty,away_first_down_penalty,home_third_down_converted,away_third_down_converted,home_third_down_failed,away_third_down_failed,home_fourth_down_converted,away_fourth_down_converted,home_fourth_down_failed,away_fourth_down_failed,home_incomplete_pass,away_incomplete_pass,home_touchback,away_touchback,Winner,score_difference
2009091000,357.0,320.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,41.0,35.0,0.0,0.0,5.0,6.0,7.0,3.0,23.0,25.0,47.0,36.0,2.0,1.0,33.0,22.0,27.0,15.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,4.0,3.0,7.0,5.0,0.0,0.0,1.0,1.0,18.0,18.0,0.0,0.0,4.0,4.0,10.0,10.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,H,3
2009091300,281.0,259.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,40.0,48.0,0.0,0.0,4.0,4.0,2.0,4.0,27.0,22.0,38.0,34.0,0.0,3.0,22.0,21.0,8.0,6.0,2.0,4.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0,3.0,3.0,15.0,15.0,1.0,1.0,6.0,6.0,9.0,9.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,H,12
2009091301,501.0,188.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,53.0,32.0,0.0,0.0,5.0,6.0,0.0,2.0,41.0,17.0,44.0,27.0,2.0,1.0,26.0,16.0,16.0,10.0,1.0,3.0,6.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,5.0,7.0,3.0,5.0,1.0,1.0,11.0,11.0,20.0,20.0,1.0,1.0,10.0,10.0,7.0,7.0,1.0,1.0,0.0,0.0,16.0,16.0,0.0,0.0,H,14
2009091302,169.0,267.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,50.0,45.0,0.0,0.0,6.0,8.0,9.0,1.0,30.0,32.0,39.0,31.0,2.0,2.0,14.0,17.0,7.0,5.0,5.0,2.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,8.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,8.0,8.0,2.0,2.0,3.0,3.0,13.0,13.0,2.0,2.0,1.0,1.0,15.0,15.0,0.0,0.0,A,-28
2009091303,307.0,302.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,30.0,0.0,0.0,4.0,6.0,4.0,5.0,27.0,20.0,36.0,32.0,1.0,1.0,21.0,17.0,20.0,15.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,7.0,8.0,0.0,0.0,4.0,4.0,12.0,12.0,0.0,0.0,5.0,5.0,10.0,10.0,1.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,A,-5
2009091304,268.0,310.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,44.0,44.0,0.0,0.0,9.0,2.0,9.0,6.0,20.0,37.0,40.0,26.0,3.0,0.0,21.0,14.0,8.0,12.0,5.0,4.0,1.0,5.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,7.0,5.0,5.0,6.0,0.0,0.0,5.0,5.0,10.0,10.0,2.0,2.0,3.0,3.0,9.0,9.0,0.0,0.0,1.0,1.0,13.0,13.0,0.0,0.0,A,-14
2009091305,183.0,462.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,30.0,41.0,0.0,0.0,5.0,11.0,8.0,3.0,13.0,42.0,35.0,31.0,1.0,3.0,18.0,18.0,12.0,15.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,4.0,0.0,0.0,3.0,3.0,7.0,7.0,1.0,1.0,3.0,3.0,7.0,7.0,0.0,0.0,1.0,1.0,14.0,14.0,0.0,0.0,A,-17
2009091306,365.0,228.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,26.0,0.0,0.0,3.0,3.0,2.0,6.0,31.0,27.0,39.0,29.0,1.0,0.0,28.0,14.0,17.0,17.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,4.0,3.0,2.0,5.0,0.0,0.0,4.0,4.0,15.0,15.0,2.0,2.0,8.0,8.0,6.0,6.0,0.0,0.0,2.0,2.0,9.0,9.0,0.0,0.0,H,2
2009091307,515.0,231.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,54.0,38.0,0.0,0.0,9.0,6.0,2.0,5.0,35.0,20.0,34.0,38.0,1.0,2.0,26.0,16.0,10.0,8.0,0.0,1.0,7.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,2.0,6.0,9.0,2.0,5.0,0.0,0.0,10.0,10.0,16.0,16.0,2.0,2.0,9.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,H,18
2009091308,450.0,462.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,44.0,38.0,0.0,0.0,4.0,3.0,9.0,10.0,31.0,24.0,42.0,28.0,2.0,2.0,25.0,16.0,14.0,5.0,0.0,1.0,3.0,4.0,1.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,2.0,7.0,4.0,5.0,4.0,0.0,0.0,10.0,10.0,14.0,14.0,2.0,2.0,5.0,5.0,8.0,8.0,1.0,1.0,1.0,1.0,17.0,17.0,0.0,0.0,A,-13
2009091309,299.0,203.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,45.0,42.0,0.0,0.0,12.0,4.0,8.0,5.0,17.0,25.0,47.0,35.0,1.0,1.0,26.0,18.0,8.0,9.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,5.0,4.0,6.0,8.0,0.0,0.0,1.0,1.0,13.0,13.0,3.0,3.0,4.0,4.0,10.0,10.0,0.0,0.0,1.0,1.0,16.0,16.0,0.0,0.0,A,-4
