game_id,Winner,score_difference
2009091000,H,3
2009091304,A,-14
2009091307,H,18
2009091308,A,-13
2009091305,A,-17
2009091306,H,2
2009091303,A,-5
2009091302,A,-28
2009091301,H,14
2009091300,H,12
2009091309,A,-4
2009091311,H,28
2009091310,H,6
2009091312,H,6
2009091400,H,1
2009091401,A,-4
2009092000,H,8
2009092001,A,-14
2009092008,H,2
2009092007,A,-3
2009092006,A,-26
2009092005,H,7
2009092004,A,-3
2009092003,A,-14
2009092002,A,-7
2009092010,H,13
2009092009,H,13
2009092013,A,-5
2009092012,H,21
2009092011,H,3
2009092014,A,-2
2009092100,A,-4
2009092700,H,31
2009092711,H,7
2009092702,H,5
2009092703,A,-7
2009092704,H,3
2009092705,H,16
2009092708,A,-24
2009092706,H,20
2009092707,A,-19
2009092709,A,-20
2009092710,A,-6
2009092701,H,3
2009092713,H,10
2009092712,A,-20
2009092714,A,-21
2009092800,H,14
2009100400,H,24
2009100401,A,-3
2009100402,H,23
2009100403,H,17
2009100404,H,20
2009100405,A,-11
2009100406,H,6
2009100407,H,3
2009100408,H,28
2009100409,H,14
2009100410,H,7
2009100411,H,35
2009100412,H,10
2009100500,H,7
2009101107,A,-28
2009101106,H,19
2009101104,A,-6
2009101103,A,-8
2009101102,H,3
2009101101,A,-3
2009101105,H,37
2009101100,A,-3
2009101108,A,-35
2009101111,H,41
2009101110,H,3
2009101109,H,7
2009101112,A,-22
2009101200,H,4
2009101800,A,-11
2009101801,H,26
2009101802,H,3
2009101803,H,2
2009101804,H,21
2009101805,H,13
2009101806,A,-7
2009101807,A,-8
2009101808,H,4
2009101809,A,-24
2009101810,H,59
2009101811,A,-3
2009101812,H,7
2009101900,A,-11
2009102506,A,-28
2009102505,A,-36
2009102504,H,10
2009102503,A,-30
2009102502,H,3
2009102501,A,-28
2009102508,A,-38
2009102507,A,-11
2009102510,A,-12
2009102509,H,16
2009102500,H,35
2009102511,A,-7
2009102600,A,-10
2009110100,H,23
2009110101,A,-21
2009110102,H,24
2009110103,H,21
2009110104,A,-7
2009110106,H,4
2009110111,H,23
2009110107,A,-5
2009110108,H,8
2009110109,H,17
2009110110,A,-13
2009110105,A,-12
2009110200,H,8
2009110800,H,14
2009110801,A,-20
2009110802,H,10
2009110803,H,3
2009110804,H,3
2009110805,H,10
2009110806,H,10
2009110807,H,10
2009110808,H,12
2009110809,A,-1
2009110810,A,-7
2009110811,A,-4
2009110900,A,-18
2009111200,H,4
2009111500,H,9
2009111507,H,10
2009111506,H,24
2009111505,A,-5
2009111504,A,-6
2009111503,A,-2
2009111501,H,2
2009111502,H,17
2009111508,A,-6
2009111510,H,10
2009111509,H,11
2009111511,H,8
2009111512,H,1
2009111600,A,-16
2009111900,A,-7
2009112200,A,-2
2009112208,A,-31
2009112207,H,3
2009112206,H,26
2009112205,H,3
2009112204,H,3
2009112201,H,1
2009112202,H,1
2009112203,H,6
2009112209,A,-8
2009112210,A,-29
2009112212,H,3
2009112211,H,17
2009112213,A,-4
2009112300,A,-3
2009112600,A,-22
2009112601,H,17
2009112602,H,20
2009112901,H,17
2009112900,H,3
2009112902,H,9
2009112907,A,-10
2009112903,A,-8
2009112905,H,11
2009112906,H,3
2009112910,H,17
2009112909,H,29
2009112908,H,3
2009112904,H,26
2009112911,H,3
2009113000,H,21
2009120300,A,-6
2009120600,A,-27
2009120613,H,1
2009120608,A,-3
2009120607,A,-3
2009120606,A,-31
2009120601,H,10
2009120602,H,8
2009120603,H,10
2009120604,H,10
2009120605,H,5
2009120609,A,-7
2009120612,H,3
2009120611,H,7
2009120610,H,13
2009120700,H,13
2009121000,H,7
2009121303,H,27
2009121306,A,-6
2009121307,H,20
2009121308,H,10
2009121309,A,-23
2009121304,H,12
2009121305,A,-4
2009121302,A,-7
2009121301,H,45
2009121300,A,-3
2009121310,H,40
2009121311,A,-21
2009121312,A,-3
2009121313,A,-7
2009121400,H,15
2009121700,A,-4
2009121900,A,-7
2009122007,A,-3
2009122003,A,-7
2009122004,A,-3
2009122001,A,-7
2009122008,H,3
2009122002,A,-7
2009122009,A,-1
2009122010,H,3
2009122006,H,1
2009122000,H,24
2009122005,H,14
2009122011,A,-17
2009122012,H,19
2009122100,A,-33
2009122500,A,-25
2009122700,H,28
2009122709,H,3
2009122707,A,-3
2009122706,H,28
2009122705,A,-32
2009122704,A,-7
2009122701,H,7
2009122702,H,14
2009122703,H,38
2009122710,H,21
2009122711,H,14
2009122708,H,3
2009122712,A,-14
2009122713,A,-17
2009122800,H,6
2010010300,H,23
2010010301,H,13
2010010310,A,-10
2010010309,A,-22
2010010307,H,37
2010010306,A,-6
2010010305,H,7
2010010304,A,-14
2010010302,H,6
2010010312,A,-20
2010010311,A,-26
2010010314,H,3
2010010313,A,-8
2010010303,H,24
2010010315,A,-4
2010010308,H,37
2010090900,H,5
2010091200,H,3
2010091209,H,6
2010091207,H,5
2010091206,H,13
2010091205,H,25
2010091204,H,7
2010091201,A,-5
2010091202,H,14
2010091203,H,10
2010091210,A,-7
2010091208,A,-4
2010091211,H,25
2010091212,H,6
2010091300,A,-1
2010091301,H,7
2010091901,H,27
2010091912,H,5
2010091908,A,-13
2010091907,H,34
2010091906,A,-3
2010091905,A,-7
2010091904,A,-8
2010091902,A,-4
2010091903,A,-2
2010091910,H,2
2010091909,H,17
2010091911,H,14
2010091913,H,25
2010091900,A,-3
2010091914,H,24
2010092000,A,-3
2010092600,A,-19
2010092601,A,-13
2010092602,A,-25
2010092603,H,8
2010092608,A,-14
2010092605,H,14
2010092606,A,-3
2010092609,H,21
2010092604,H,7
2010092607,H,14
2010092610,A,-25
2010092611,A,-14
2010092612,H,1
2010092613,H,7
2010092614,A,-8
2010092700,H,3
2010100300,A,-24
2010100301,H,3
2010100302,A,-3
2010100303,A,-6
2010100304,H,2
2010100305,H,2
2010100306,H,2
2010100307,H,17
2010100308,H,3
2010100309,A,-7
2010100310,A,-5
2010100311,H,31
2010100312,H,14
2010100400,A,-27
2010101000,A,-10
2010101001,H,14
2010101002,H,10
2010101003,H,3
2010101004,H,38
2010101005,A,-17
2010101006,A,-3
2010101008,A,-24
2010101007,A,-10
2010101009,H,10
2010101010,A,-7
2010101011,H,8
2010101012,A,-3
2010101100,H,9
2010101700,A,-3
2010101701,H,3
2010101702,H,3
2010101703,H,18
2010101704,H,4
2010101705,H,8
2010101706,H,14
2010101708,A,-25
2010101707,A,-3
2010101709,A,-4
2010101710,H,8
2010101711,H,3
2010101712,A,-3
2010101800,A,-27
2010102400,H,7
2010102401,A,-1
2010102402,H,3
2010102403,H,22
2010102404,A,-13
2010102405,A,-3
2010102406,H,3
2010102408,H,18
2010102407,H,1
2010102409,H,12
2010102410,A,-3
2010102411,A,-45
2010102412,H,4
2010102500,A,-6
2010103100,H,8
2010103101,A,-18
2010103102,A,-8
2010103103,H,3
2010103104,H,12
2010103105,H,10
2010103106,A,-9
2010103107,H,8
2010103108,H,10
2010103109,A,-3
2010103110,H,30
2010103111,H,10
2010110100,H,13
2010110700,A,-3
2010110701,H,16
2010110702,H,20
2010110703,A,-6
2010110704,A,-3
2010110705,H,3
2010110706,H,6
2010110707,A,-31
2010110708,A,-34
2010110709,H,2
2010110710,H,3
2010110711,H,38
2010110800,A,-6
2010111100,H,5
2010111406,H,2
2010111405,H,15
2010111403,H,7
2010111402,H,6
2010111401,A,-6
2010111400,H,12
2010111404,H,14
2010111407,H,20
